Date,Open,High,Low,Close,Adj Close,Volume
2004-10-15,111.019997,111.739998,110.570000,111.260002,80.576363,63482200
2004-10-18,110.889999,111.900002,110.699997,111.680000,80.880524,43535100
2004-10-19,112.019997,112.230003,110.589996,110.739998,80.199760,55851900
2004-10-20,110.379997,110.820000,109.750000,110.519997,80.040443,57118500
2004-10-21,110.790001,111.320000,110.209999,111.239998,80.561867,53218300
2004-10-22,111.190002,111.250000,109.860001,109.989998,79.656624,48752400
2004-10-25,109.750000,110.120003,109.349998,109.860001,79.562447,43990900
2004-10-26,110.129997,111.599998,109.879997,111.540001,80.779106,54337400
2004-10-27,111.379997,113.099998,111.120003,112.879997,81.749580,73896000
2004-10-28,112.779999,113.559998,112.489998,113.220001,81.995796,54413300
2004-10-29,113.120003,113.639999,112.900002,113.199997,81.981346,48820200
2004-11-01,113.559998,113.839996,113.199997,113.510002,82.205833,36720900
2004-11-02,113.669998,114.570000,113.220001,113.550003,82.234833,56210000
2004-11-03,115.029999,115.360001,114.239998,114.980003,83.270432,76960200
2004-11-04,114.779999,116.669998,114.680000,116.550003,84.407494,55350300
2004-11-05,117.050003,117.639999,116.489998,117.279999,84.936165,63287200
2004-11-08,116.980003,117.230003,116.720001,117.110001,84.813011,33863800
2004-11-09,117.080002,117.500000,116.760002,116.879997,84.646439,44658100
2004-11-10,117.059998,117.550003,116.760002,116.970001,84.711609,45265400
2004-11-11,117.180000,118.120003,117.099998,117.860001,85.356201,37863200
2004-11-12,117.970001,119.000000,117.680000,118.790001,86.029724,55583700
2004-11-15,118.500000,118.769997,118.230003,118.730003,86.241074,35297900
2004-11-16,118.360001,118.410004,117.730003,117.879997,85.623688,40028700
2004-11-17,118.370003,119.139999,118.070000,118.580002,86.132103,54494000
2004-11-18,118.529999,118.800003,118.230003,118.739998,86.248352,31854300
2004-11-19,118.699997,118.720001,117.139999,117.419998,85.289551,54276500
2004-11-22,117.169998,118.120003,117.029999,117.980003,85.696312,37560200
2004-11-23,117.930000,118.260002,117.370003,118.160004,85.827026,41968800
2004-11-24,118.269997,118.589996,118.050003,118.440002,86.030418,29724800
2004-11-26,118.510002,118.980003,118.300003,118.349998,85.965073,15487700
2004-11-29,118.790001,119.010002,117.480003,117.809998,85.572807,61460800
2004-11-30,118.000000,118.239998,117.639999,117.889999,85.630928,53685200
2004-12-01,118.160004,119.500000,118.099998,119.230003,86.604271,49898300
2004-12-02,119.099998,119.870003,119.010002,119.330002,86.676910,60163500
2004-12-03,119.309998,120.139999,119.089996,119.250000,86.618767,49067900
2004-12-06,119.209999,119.639999,118.839996,119.209999,86.589752,33030500
2004-12-07,119.489998,119.620003,118.040001,118.099998,85.783470,52047200
2004-12-08,118.209999,118.820000,118.010002,118.790001,86.284676,43895100
2004-12-09,118.139999,119.459999,117.730003,119.209999,86.589752,60922800
2004-12-10,118.919998,119.559998,118.849998,119.330002,86.676910,47828600
2004-12-13,119.760002,120.400002,119.349998,120.370003,87.432304,38541000
2004-12-14,120.180000,120.959999,120.180000,120.790001,87.737381,41500700
2004-12-15,120.699997,121.110001,120.309998,120.879997,87.802719,46699200
2004-12-16,120.720001,121.239998,120.040001,120.809998,87.751915,51641800
2004-12-17,119.459999,119.970001,119.160004,119.440002,87.166611,70761900
2004-12-20,119.750000,120.290001,119.169998,119.470001,87.188484,47187400
2004-12-21,119.599998,120.480003,119.459999,120.389999,87.859894,33094200
2004-12-22,120.379997,121.080002,120.300003,120.680000,88.071571,31500700
2004-12-23,120.870003,121.279999,120.660004,120.769997,88.137245,25646100
2004-12-27,121.199997,121.360001,120.389999,120.519997,87.954803,29944100
2004-12-28,120.639999,121.330002,120.599998,121.180000,88.436455,23422900
2004-12-29,121.080002,121.400002,120.949997,121.360001,88.567833,22650600
2004-12-30,121.400002,121.570000,121.040001,121.129997,88.399971,21076900
2004-12-31,121.300003,121.660004,120.800003,120.870003,88.210205,28648800
2005-01-03,121.559998,121.760002,119.900002,120.300003,87.794243,55748000
2005-01-04,120.459999,120.540001,118.440002,118.830002,86.721436,69167600
2005-01-05,118.739998,119.250000,118.000000,118.010002,86.123009,65667300
2005-01-06,118.440002,119.150002,118.260002,118.610001,86.560890,47814700
2005-01-07,118.970001,119.230003,118.129997,118.440002,86.436821,55847700
2005-01-10,118.339996,119.459999,118.339996,119.000000,86.845528,56563300
2005-01-11,118.639999,118.739998,117.989998,118.180000,86.247055,63099700
2005-01-12,118.400002,118.839996,117.519997,118.570000,86.531693,72720500
2005-01-13,118.639999,118.730003,117.500000,117.620003,85.838402,55537500
2005-01-14,117.970001,118.529999,117.760002,118.239998,86.290825,42032500
